metdiv,Year,inc_1,inc_2,inc_3,inc_4
35940,1990,33800,54600,85800,364000
35980,1990,44200,75400,119600,364000
36020,1990,39000,59800,96200,364000
36084,1990,44200,85800,140400,364000
36100,1990,23400,44200,75400,364000
36140,1990,33800,65000,101400,364000
36220,1990,23400,49400,80600,364000
36260,1990,39000,70200,101400,364000
36300,1990,23400,49400,80600,364000
36340,1990,23400,44200,75400,364000
36380,1990,23400,44200,70200,364000
36420,1990,28600,54600,91000,364000
36460,1990,28600,49400,80600,364000
36500,1990,39000,65000,96200,364000
36540,1990,33800,59800,96200,364000
36580,1990,28600,49400,85800,364000
36620,1990,23400,39000,70200,364000
36660,1990,15600,28600,59800,364000
36700,1990,15600,44200,75400,364000
36740,1990,33800,65000,96200,364000
36780,1990,33800,59800,96200,364000
36820,1990,23400,49400,75400,364000
36830,1990,28600,49400,80600,364000
36840,1990,23400,49400,80600,364000
36860,1990,28600,54600,85800,364000
36900,1990,23400,44200,70200,364000
36940,1990,33800,65000,96200,364000
36980,1990,23400,49400,80600,364000
37020,1990,33800,65000,96200,364000
37060,1990,15600,39000,70200,364000
37080,1990,28600,54600,85800,364000
37100,1990,54600,96200,140400,364000
37120,1990,23400,49400,75400,364000
37140,1990,23400,44200,80600,364000
37220,1990,33800,59800,96200,364000
37260,1990,23400,44200,75400,364000
37300,1990,23400,44200,75400,364000
37340,1990,33800,65000,101400,364000
37420,1990,23400,49400,85800,364000
37460,1990,28600,49400,80600,364000
37500,1990,15600,39000,65000,364000
37540,1990,15600,39000,65000,364000
37580,1990,15600,44200,75400,364000
37620,1990,23400,49400,85800,364000
37660,1990,23400,44200,75400,364000
37740,1990,23400,44200,75400,364000
37780,1990,15600,39000,70200,364000
37800,1990,33800,59800,85800,364000
37860,1990,28600,54600,85800,364000
37900,1990,33800,59800,96200,364000
37940,1990,28600,49400,80600,364000
37964,1990,28600,54600,96200,364000
38060,1990,33800,65000,101400,364000
38100,1990,15600,39000,75400,364000
38180,1990,28600,54600,85800,364000
38220,1990,15600,44200,75400,364000
38240,1990,33800,59800,91000,364000
38260,1990,15600,39000,70200,364000
38300,1990,28600,54600,91000,364000
38340,1990,33800,65000,101400,364000
38380,1990,23400,44200,75400,364000
38420,1990,28600,49400,80600,364000
38460,1990,28600,54600,85800,364000
38500,1990,33800,59800,85800,364000
38540,1990,28600,54600,85800,364000
38580,1990,15600,44200,75400,364000
38620,1990,23400,49400,85800,364000
38660,1990,NA,NA,NA,NA
38700,1990,33800,59800,91000,364000
38740,1990,15600,33800,59800,364000
38780,1990,15600,39000,70200,364000
38820,1990,28600,54600,85800,364000
38840,1990,39000,65000,101400,364000
38860,1990,39000,65000,101400,364000
38900,1990,33800,65000,101400,364000
38920,1990,23400,49400,85800,364000
38940,1990,33800,59800,96200,364000
39020,1990,15600,33800,70200,364000
39060,1990,23400,49400,75400,364000
39140,1990,23400,44200,75400,364000
39220,1990,23400,54600,85800,364000
39260,1990,28600,49400,75400,364000
39300,1990,33800,65000,109200,364000
39340,1990,33800,54600,85800,364000
39380,1990,23400,44200,75400,364000
39420,1990,23400,44200,80600,364000
39460,1990,33800,54600,80600,364000
39500,1990,23400,49400,75400,364000
39540,1990,39000,70200,101400,364000
39580,1990,39000,70200,109200,364000
39660,1990,28600,49400,80600,364000
39700,1990,15600,28600,54600,364000
39740,1990,39000,65000,101400,364000
39780,1990,23400,44200,75400,364000
39820,1990,28600,54600,85800,364000
39860,1990,33800,59800,91000,364000
39900,1990,39000,65000,109200,364000
39940,1990,28600,49400,75400,364000
39980,1990,23400,49400,80600,364000
40060,1990,39000,70200,109200,364000
40080,1990,15600,39000,75400,364000
40100,1990,5200,15600,39000,364000
40140,1990,39000,70200,109200,364000
40180,1990,23400,44200,75400,364000
40220,1990,33800,59800,96200,364000
40260,1990,15600,39000,65000,364000
40300,1990,39000,65000,96200,364000
40340,1990,33800,65000,101400,364000
40380,1990,39000,70200,109200,364000
40420,1990,33800,65000,101400,364000
40460,1990,23400,44200,75400,364000
40484,1990,49400,80600,119600,364000
40540,1990,39000,75400,101400,364000
40580,1990,23400,49400,85800,364000
40620,1990,23400,44200,75400,364000
40660,1990,23400,54600,91000,364000
40700,1990,28600,49400,75400,364000
40740,1990,23400,44200,75400,364000
40760,1990,15600,39000,70200,364000
40780,1990,23400,44200,70200,364000
40820,1990,15600,39000,75400,364000
40860,1990,33800,59800,91000,364000
40900,1990,39000,70200,109200,364000
40940,1990,15600,39000,65000,364000
40980,1990,28600,59800,96200,364000
41060,1990,33800,54600,85800,364000
41100,1990,28600,49400,80600,364000
41140,1990,23400,49400,80600,364000
41180,1990,33800,65000,109200,364000
41220,1990,33800,59800,91000,364000
41260,1990,28600,49400,80600,364000
